BOOK,kjv,kjv_strongs,asv,web
1CH,942,942,942,937
1CO,437,437,437,433
1JN,105,105,105,104
1KI,816,816,816,809
1PE,105,105,105,104
1SA,810,810,810,803
1TH,89,89,89,88
1TI,113,113,113,112
2CH,822,822,822,816
2CO,257,257,257,255
2JN,13,13,13,13
2KI,719,719,719,713
2PE,61,61,61,61
2SA,695,695,695,687
2TH,47,47,47,47
2TI,83,83,83,82
3JN,14,14,14,14
ACT,1007,1007,1007,1000
AMO,146,146,146,146
COL,95,95,95,95
DAN,357,357,357,352
DEU,959,959,959,951
ECC,222,222,222,221
EPH,155,155,155,153
EST,167,167,167,165
EXO,1213,1213,1213,1205
EZK,1273,1273,1273,1263
EZR,280,280,280,278
GAL,149,149,149,148
GEN,1533,1533,1533,1522
HAB,56,56,56,55
HAG,38,38,38,38
HEB,303,303,303,300
HOS,197,197,197,197
ISA,1292,1292,1292,1289
JAS,108,108,108,108
JDG,618,618,618,611
JER,1364,1364,1364,1355
JHN,879,879,879,874
JOB,1070,1070,1070,1067
JOL,73,73,73,73
JON,48,48,48,47
JOS,658,658,658,652
JUD,25,25,25,24
LAM,154,154,154,154
LEV,859,859,859,853
LUK,1151,1151,1151,1148
MAL,55,55,55,2143
MAT,1071,1071,1071,1067
MIC,105,105,105,105
MRK,678,678,678,677
NAM,47,47,47,47
NEH,406,406,406,402
NUM,1288,1288,1288,1279
OBA,21,21,21,21
PHM,25,25,25,25
PHP,104,104,104,104
PRO,915,915,915,913
PSA,2461,2461,2461,2450
REV,404,404,404,401
ROM,433,433,433,431
RUT,85,85,85,84
SNG,117,117,117,117
TIT,46,46,46,46
ZEC,211,211,211,209
ZEP,53,53,53,52
