Status Info,,,,,,,,,Reference Info,,,,,Pair Info,,,,X INFO,,,,,,,,,,,,,,Y INFO,,,,,,,,,,,,,,Type Info,,,,
Status,RV,UV,Stage,X,Y,T,Confidence,,Book,Ch,Entry,PV,,P.X,P.T,P.Y,,X.status,X.con,X.type,X.key,X.keys,X.int,X.ref,X.group,X.root,X.context,X.mode,X.gen,X.notes,,Y.status,Y.con,Y.type,Y.key,Y.keys,Y.int,Y.ref,Y.group,Y.root,Y.context,Y.mode,Y.gen,Y.notes,,T.type,T.polarity,T.mode,T.tag,T.notes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U,1.0.0,1.0.1,FS,FS,FS,FS,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,pro,1,1-4,"1,2",,,,,,,,,Proverbs,,,Proverbs,Word of God,the Proverbs of Solomon,,,"of Solomon, Proverbs of Solomon (if scripture/God's word)",,,,,,knowledge,,,know,wisdom,know wisdom and instruction,,,of wisdom and instruction,"interpretstion good enough to keep as own, or only used to explain mode? ",,,,,,
P,,,,,,,,,pro,1,1-4,"1,2",,,,,,,,,Proverbs,,,Proverbs,Word of God,the Proverbs of Solomon,,,"of Solomon, Proverbs of Solomon (if scripture/God's word)",,,,,,wisdom,,,,wisdom,wisdom,,knowledge of,,,,,,,,
P,,,,,,,,,pro,1,1-4,"1,2",,,,,,,,,Proverbs,,,Proverbs,Word of God,the Proverbs of Solomon,,,"of Solomon, Proverbs of Solomon (if scripture/God's word)",,,,,,instruction,,,,guidance,instruction,,knowledge of,,,,,,,,
P,,,,,,,,,pro,1,1-4,"1,2",,,,,,,,,Proverbs,,,Proverbs,Word of God,the Proverbs of Solomon,,,"of Solomon, Proverbs of Solomon (if scripture/God's word)",,,,,,discernment,"perception, discernment, understanding",,perceive,wisdom,to perceive the words of understanding,,,sayings of understanding,"interpretstion good enough to keep as own, or only used to explain mode? ",,,,,,
P,,,,,,,,,pro,1,1-4,"1,2",,,,,,,,,Proverbs,,,Proverbs,Word of God,the Proverbs of Solomon,,,"of Solomon, Proverbs of Solomon (if scripture/God's word)",,,,,,understanding,"understanding, insight",,understanding,wisdom,the words of understanding,,perception/discernment of/ words of,,,,,,,,
P,,,,,,,,,pro,1,1-4,"1,3",,,,,,,,,Proverbs,,,Proverbs,Word of God,the Proverbs of Solomon,,,"of Solomon, Proverbs of Solomon (if scripture/God's word)",,,,,,instruction,,,,instruction,to receive the instruction of,,receive,of wisdom .... ,"interpretstion good enough to keep as own, or only used to explain mode? ",,,,,,
P,,,,,,,,,pro,1,1-4,"1,3",,,,,,,,,Proverbs,,,,Word of God,,,,,,,,,,wisdom,,,,wisdom,wisdom,,receive the instruction of,,,,,,,,
